id,category,name,subtitle_tag,description,benefits,price,offer_price,weight_options,weight,image_url,is_popular,order
999112,Wellness Teas,Slimming Tea - Fat To Fab,Slimming & Metabolism,"Targeted slimming herbal tea that boosts metabolism, reduces sugar cravings, improves digestion, manages weight, protects liver function, and controls cholesterol.","Boosts Metabolism, Reduces Sugar Cravings, Improves Digestion, Weight Management, Liver Protection, Controls Cholesterol",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),70g / 100g / 150g / 30-60 Tea Bags,/media/products/slimming_tea_fat_to_fab.jpeg,True,1
999113,Wellness Teas,Fat Burner - Fat Cutter Tea,Fat Loss & Detox,"Potent fat burning herbal tea that helps burn stubborn calories, cures constipation, improves digestion, aids fat loss, and boosts immune defense.","Weight Control & Fat Loss, Cure Constipation, Burn Calorie, Improve Digestion, Detoxification, Boost Immunity",499.00,349.00,100g (₹499) | 200g (₹999) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),100g / 200g / 30-60 Tea Bags,/media/products/fat_burner_fat_cutter_tea.jpeg,True,2
999114,Wellness Teas,Tummy Fat - Detox Tea,Abdominal Fat & Bloating,"Specially formulated detox tea to target abdominal fat, fight inflammation, burn extra calories, boost daily energy, and reduce water retention.","Weight Control & Fat Loss, Fight Inflammation, Burn Calorie, Improve Digestion, Boost Energy, Reduce Water Retention",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),70g / 100g / 150g / 30-60 Tea Bags,/media/products/tummy_fat_detox_tea.jpeg,True,3
999115,Wellness Teas,Skin & Hair Care - Ever Youthful Tea,Skin Glow & Anti-Aging,"Antioxidant-rich herbal blend designed for skin detox, collagen boosting, natural skin glow, dark spots removal, suntan repair, and healthy hair nourishment.","Skin Detox, Collagen Boost, Natural Skin Glow, Dark Spots Removal, Suntan Removal, Healthy Hair",499.00,349.00,100g (₹499) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),100g / 30-60 Tea Bags,/media/products/ever_youthful_tea.jpeg,True,4
999116,Wellness Teas,Women Care Tea - PCOD / PCOS,Hormone & Cycle Balance,"Hormone balancing natural herbal tea specially formulated for women to assist in managing PCOD/PCOS symptoms, regulating cycles, and reducing bloating.","PCOD & PCOS Support, Hormone Regulation, Cycle Harmony, Reduces Bloating, Zero Side Effects",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),70g / 100g / 150g / 30-60 Tea Bags,/media/products/women_care_tea.jpeg,True,5
999117,Wellness Teas,Good Night Tea,Sleep & Stress Relief,"Relaxing evening botanical infusion that reduces stress and anxiety, promotes deep peaceful sleep, improves digestion, controls blood sugar, and fades dark circles under eyes.","Reduces Stress & Anxiety, Promotes Sleep, Improves Digestion, Fades Under-Eye Dark Circles, Controls Blood Sugar Level",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749) | 30 Tea Bags (₹499) | 60 Tea Bags (₹980),70g / 100g / 150g / 30-60 Tea Bags,/media/products/good_night_tea.jpeg,False,6
999118,Wellness Teas,Diabetic Care Tea,Blood Sugar Management,"Herbal tea blend crafted with natural glycemic regulators to assist in blood sugar balance, insulin sensitivity, and sugar craving control.","Blood Sugar Control, Insulin Support, Glycemic Balance, Metabolism Aid",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749),70g / 100g / 150g,/media/products/diabetic_care_tea.jpeg,False,7
999119,Wellness Teas,Heart Care Tea,Cardio & Cholesterol Care,"Cardiovascular support herbal tea loaded with natural flavonoids to promote healthy blood pressure, arterial health, and cholesterol regulation.","Heart Support, Cholesterol Balance, Arterial Vitality, Antioxidant Protection",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749),70g / 100g / 150g,/media/products/heart_care_tea.jpeg,False,8
999120,Wellness Teas,Thyrocare Tea,Thyroid Health,"Nourishing herbal tea created to support optimal thyroid function, boost sluggish metabolism, balance energy levels, and reduce tiredness.","Thyroid Support, Metabolism Boost, Energy Restoration, Hormonal Support",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749),70g / 100g / 150g,/media/products/thyrocare_tea.jpeg,False,9
999121,Wellness Teas,Moms Care Tea,Postpartum & Nursing Support,"Gentle and soothing herbal tea blend for new mothers to promote postpartum recovery, natural lactation support, and gentle daily nourishment.","Postpartum Recovery, Lactation Support, Gentle Vitality, Restorative Care",499.00,349.00,70g (₹349) | 100g (₹499) | 150g (₹749),70g / 100g / 150g,/media/products/moms_care_post_pregnancy_tea.jpeg,False,10
